date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:52:18	186/186	---M-Z	200	added ('OK')	text/plain	etag:%22b63b709f442d71:0%22	https://www.kahnlawfirm.com/robots.txt		(from )
16:52:18	82465/82465	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2021:52:17%20GMT	https://www.kahnlawfirm.com/	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/index.html	(from )
16:52:19	48465/48465	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2031%20Jul%202023%2021:52:19%20GMT	https://www.kahnlawfirm.com/images/logos/social-logo[2].png	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/images/logos/social-logo[2].0.delayed	(from https://www.kahnlawfirm.com/)
16:52:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2031%20Jul%202023%2021:52:19%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.googletagmanager.com/gtm.15445.delayed	(from https://www.kahnlawfirm.com/)
16:52:20	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Mon,%2031%20Jul%202023%2021:52:20%20GMT	http://connect.facebook.net/en_US/fbevents.js	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/connect.facebook.net/en_US/fbevents.2.delayed	(from https://www.kahnlawfirm.com/)
16:52:21	175784/175784	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2031%20Jul%202023%2021:52:20%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/connect.facebook.net/en_US/fbevents.js	(from https://www.kahnlawfirm.com/)
16:52:22	440380/440380	---M-Z	200	added ('OK')	text/css	etag:%2254bf927162d91:0%22	https://www.kahnlawfirm.com/cms/includes/9_ra51z41ig.2303291206316.css	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/cms/includes/9_ra51z41ig.2303291206316.css	(from https://www.kahnlawfirm.com/)
16:52:23	535472/535472	---MCZ	200	added ('OK')	application/javascript	etag:%22e96ae3ec868d91:0%22	https://www.kahnlawfirm.com/cms/includes/xfe68wggbgd.2304061340436.js	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/cms/includes/xfe68wggbgd.2304061340436.js	(from https://www.kahnlawfirm.com/)
16:52:23	15603/15603	---M-Z	200	added ('OK')	image/svg+xml	etag:%221d9b9050a203c00%22	https://www.kahnlawfirm.com/cms/svg/site/wf2vgq5nuei.24.svg	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/cms/svg/site/wf2vgq5nuei.24.svg	(from https://www.kahnlawfirm.com/)
16:52:23	67864/67864	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2021:52:23%20GMT	https://www.kahnlawfirm.com/testimonials/	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/testimonials/index.html	(from https://www.kahnlawfirm.com/)
16:52:24	64676/64676	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2021:52:23%20GMT	https://www.kahnlawfirm.com/blog/	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/blog/index.html	(from https://www.kahnlawfirm.com/)
16:52:24	47681/47681	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2021:52:23%20GMT	https://www.kahnlawfirm.com/site-search/	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/site-search/index.html	(from https://www.kahnlawfirm.com/)
16:52:24	6506/6506	---M--	200	added ('OK')	image/png	etag:%229327f7bf8716d71:0%22	https://www.kahnlawfirm.com/images/logos/Logo.png	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/images/logos/Logo.png	(from https://www.kahnlawfirm.com/)
16:52:25	8202/8202	---M--	200	added ('OK')	image/png	etag:%2299a7c135516d71:0%22	https://www.kahnlawfirm.com/images/logos/Logo2.png	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/images/logos/Logo2.png	(from https://www.kahnlawfirm.com/)
16:52:26	3396/3396	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a1438276c8b6d61:0%22	https://www.kahnlawfirm.com/includes/flair.svg	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/includes/flair.svg	(from https://www.kahnlawfirm.com/)
16:52:26	66513/66513	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2021:52:26%20GMT	https://www.kahnlawfirm.com/about-our-firm/	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/about-our-firm/index.html	(from https://www.kahnlawfirm.com/)
16:52:26	58050/58050	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2021:52:26%20GMT	https://www.kahnlawfirm.com/attorneys/ellis-i-kahn/	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/attorneys/ellis-i-kahn/index.html	(from https://www.kahnlawfirm.com/)
16:52:27	57527/57527	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2021:52:26%20GMT	https://www.kahnlawfirm.com/attorneys/	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/attorneys/index.html	(from https://www.kahnlawfirm.com/)
16:52:27	62369/62369	---M-Z	200	added ('OK')	text/html	date:Mon,%2031%20Jul%202023%2021:52:27%20GMT	https://www.kahnlawfirm.com/attorneys/justin-s-kahn/	C:/Users/Peter.Stone/Desktop/My%20Websites/Kahn%20Law%20Site%20Wrap/www.kahnlawfirm.com/attorneys/justin-s-kahn/index.html	(from https://www.kahnlawfirm.com/)
